"","key","m_y","patents_in_period","file_date","file_year","quarter","year","treat_date","unique_patents_in_period","applied","awarded","location","tags","volume","negativity_rating","permanence","price","contractprice","current_cost_per_tonne","capex","opex","quantification","thirdparty verification","net_neg sequestration_todate","lifetime mtco2e","gross project emissions","offer_quantity","contract_quantity","R_and_D_offer","awarded_factor","realised_cost_decrease","price_contract_diff","quantity_contract_diff","awardednum","previous_application_stripe","sum_patents","year_factor","repeat_factor"
"35","Climate Robotics20224",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,419,NA,377,128,121,30,15,NA,1325,220,1192,NA,NA,"0",42,0,0,0,0,1,"2022","0"
"36","Carbyon20233",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1068,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,NA,NA,"0",NA,0,0,0,0,1,"2023","0"
"37","Heimdal20214",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,"Hawaii, USA","ocean,alkalinity",150,0,1000,250,NA,1200,NA,NA,NA,NA,NA,150,8.1,150,NA,NA,"0",-950,0,0,0,0,3,"2021","0"
"38","Andes Ag20224",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,157,NA,157,0,51.77,98.95,6.28,NA,75000,52.02,5000,NA,NA,"0",0,0,0,0,0,3,"2022","0"
"39","ZS2 Technologies20233",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,"0",NA,0,0,0,1,2,"2023","1"
"40","ZS220224",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,572,NA,572,205,314,53,NA,NA,961852,280,1000,NA,NA,"0",0,0,0,0,0,2,"2022","0"
"41","Carbo Culture20201",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,"Central Valley, CA, USA","biomass,biochar",56,0,568,1000,NA,NA,NA,NA,NA,NA,62,NA,NA,42,NA,NA,"0",NA,0,0,0,0,2,"2020","0"
"42","Carbo Culture20212",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,"Central Valley, CA, USA","biomass,biochar",56,0,568,1000,NA,1300,NA,NA,NA,NA,NA,1067.38,66.8,1067.38,NA,NA,"0",-300,0,0,0,1,2,"2021","1"
"43","Project Vesta20201",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,"Caribbean","Enhanced weathering",200,0,1000,50,75,NA,NA,NA,NA,NA,200,NA,NA,200,3333.3,0,"1",NA,-25,-3133.3,1,0,3,"2020","0"
"44","Sustaera20214",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,"North Carolina, USA","DAC",3500,0,1000,777.78,700,1500,NA,NA,NA,NA,NA,3500,350,3500,714,0,"1",-722.22,77.78,2786,1,0,2,"2021","0"
"45","44.0120214",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,"Oman","Capture and storage",2920,0,1000,170,170,1000,NA,NA,NA,NA,NA,2890,39,2890,2941,0,"1",-830,0,-51,1,0,6,"2021","0"
"46","Brilliant Planet20233",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,NA,NA,"0",NA,0,0,0,0,5,"2023","0"
"47","CarbonBuilt20212",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,"USA","Storage",992,0,1000,260,260,233,NA,NA,NA,NA,NA,992,23,992,968,0,"1",27,0,24,1,0,6,"2021","0"
"48","Seaweed Generation20222",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,400,NA,270,NA,NA,NA,NA,NA,1470,63.21,1412,NA,NA,"0",130,0,0,0,1,4,"2022","1"
"49","Seaweed Generation20224",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,393,NA,393,74,225,71,23,NA,1290,18,1272,NA,NA,"0",0,0,0,0,0,4,"2022","0"
"50","Ebb Carbon20214",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,"California, USA","Capture and storage",294,0,1000,1950,1950,1950,NA,NA,NA,NA,NA,294,37,294,256,0,"1",0,0,38,1,0,3,"2021","0"
"51","Cquestr820214",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,"Unspecified","ocean,mineralization",1000,0,1000,420,NA,1000,NA,NA,NA,NA,NA,1000,0,1000,NA,NA,"0",-580,0,0,0,0,1,"2021","0"
"52","CQuestr820233",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,950,NA,NA,"0",NA,0,0,0,0,1,"2023","0"
"53","Eion Corp20214",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,"Princeton, NJ and Berkeley, CA","Soil amendment",1000,0,1000,500,500,1283,NA,NA,NA,NA,NA,1000,51,1000,500,0,"1",-783,0,500,1,0,1,"2021","0"
"54","Noya20224",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1500,NA,1500,950,350,200,NA,NA,8750,608,700,NA,NA,"0",0,0,0,0,0,1,"2022","0"
"55","Carbon Atlantis20233",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"DAC",NA,NA,NA,1450,1816,NA,NA,NA,NA,NA,NA,NA,NA,153,275,0,"1",NA,-366,-122,1,0,1,"2023","0"
"56","Carbon Limit20224",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,224.13,NA,224.13,168,27,11,18.13,NA,10000,105.59,10000,NA,NA,"0",0,0,0,0,0,1,"2022","0"
"57","Sinkco20224",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1838,NA,1838,1138,224,395,66,NA,494,58,287,NA,NA,"0",0,0,0,0,0,1,"2022","0"
"58","Capture620224",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,0.1,NA,NA,NA,"0",NA,0,0,0,0,1,"2022","0"
"59","Heirloom20212",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,"California, USA","Capture and storage",50,0,1000,10000,2054,20000,NA,NA,NA,NA,NA,50,3,50,244,0,"1",-10000,7946,-194,1,0,1,"2021","0"
"60","CarbonRun20233",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"River Alkalinity Enhancement",NA,NA,NA,387,387,NA,NA,NA,NA,NA,NA,NA,NA,1300,1291,0,"1",NA,0,9,1,0,1,"2023","0"
"61","Living Carbon20222",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Capture and storage",NA,NA,NA,2320,0,2320,NA,NA,NA,NA,NA,336.2,0,229.4,0,75000,"1",0,NA,NA,1,0,1,"2022","0"
"62","Lillianah20233",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,NA,NA,"0",NA,0,0,0,0,2,"2023","0"
"63","Carbonaught20222",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,450,NA,357.4,NA,NA,NA,NA,NA,542,42,500,NA,NA,"0",92.6,0,0,0,0,1,"2022","0"
"64","Parallel Carbon20222",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1111,NA,1000,NA,NA,NA,NA,NA,231,64,225,NA,NA,"0",111,0,0,0,0,1,"2022","0"
"65","Parallel Carbon20233",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,454,NA,NA,"0",NA,0,0,0,1,1,"2023","1"
"66","Carbon Blue20224",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,941,NA,941,448,465,12,16,NA,6470,267,300,NA,NA,"0",0,0,0,0,0,1,"2022","0"
"67","Airhive20233",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"DAC",NA,NA,NA,530,530,530,182,196,19,22,NA,NA,NA,943,943,0,"1",0,0,0,1,0,1,"2023","0"
"68","TerraFixing20224",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,800,NA,546.51,249.66,196.74,99.38,0.74,NA,1000,295,13705,NA,NA,"0",253.49,0,0,0,0,1,"2022","0"
"69","AspiraDAC20222",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Capture and storage",NA,NA,NA,1000,1000,1000,NA,NA,NA,NA,NA,3300,1980,3100,500,0,"1",0,0,2600,1,0,1,"2022","0"
"70","Alkali Earth20233",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Enhanced Weathering",NA,NA,NA,322.45,370,NA,NA,NA,NA,NA,NA,NA,NA,1551,1351,0,"1",NA,-47.55,200,1,0,0,"2023","0"
"71","Andes Bio20222",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,25,NA,25,NA,NA,NA,NA,NA,75000,4.38,74995.62,NA,NA,"0",0,0,0,0,0,0,"2022","0"
"72","Andes20233",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,1666.67,NA,NA,"0",NA,0,0,0,0,0,"2023","0"
"73","Arbon20233",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"DAC",NA,NA,NA,180,575,NA,NA,NA,NA,NA,NA,NA,NA,2777,173,0,"1",NA,-395,2604,1,0,0,"2023","0"
"74","Arbor20224",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Capture and storage",NA,NA,NA,500,500,500,40,71.5,0,0,NA,1316000,64800,1000,667,0,"1",0,0,333,1,0,0,"2022","0"
"75","Banyu20233",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Direct Ocean Removal",NA,NA,NA,1350,1387,NA,NA,NA,NA,NA,NA,NA,NA,360,360,0,"1",NA,-37,0,1,0,0,"2023","0"
"76","Bio-Concrete (VTT and PURO.EARTH)20212",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,"Finland","mineralization,concrete",150,0,1000,960,NA,960,NA,NA,NA,NA,NA,388,32,388,NA,NA,"0",0,0,0,0,0,0,"2021","0"
"77","Biomass Burial (EBS and PURO.EARTH)20212",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,50,NA,2000,NA,NA,NA,NA,NA,5000,75,5000,NA,NA,"0",-1950,0,0,0,0,0,"2021","0"
"78","Bluesource20201",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,"Mountain City, TN, USA","forests,ifm",631845,1,37,8,NA,NA,NA,NA,NA,NA,139593,NA,NA,139593,NA,NA,"0",NA,0,0,0,0,0,"2020","0"
"79","Boomitra20233",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,"0",NA,0,0,0,0,0,"2023","0"
"80","Breadtree Farms20201",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,"Johnsonville, NY, USA","forests,agroforestry",56,0,30,4.14,NA,NA,NA,NA,NA,NA,140,NA,NA,140,NA,NA,"0",NA,0,0,0,0,0,"2020","0"
"81","C Sink20212",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,"Black Sea","ocean,biomass",100,0,100,5000,NA,5000,NA,NA,NA,NA,NA,100,0.1,100,NA,NA,"0",0,0,0,0,0,0,"2021","0"
"82","Captura20224",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Direct Ocean Removal",NA,NA,NA,984,984,984,689,295,0,0,NA,2894,0.295,508,339,0,"1",0,0,169,1,0,0,"2022","0"
"83","Carba20233",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,1111,NA,NA,"0",NA,0,0,0,0,0,"2023","0"
"84","Carbin Minerals20224",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Capture and storage",NA,NA,NA,1566,1318,1566,1213,336,17,0,NA,1800,60,320,380,0,"1",0,248,-60,1,0,0,"2022","0"
"85","Carbix20212",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,"Texas, USA","mineralization,aggregate",3935,0,1000,73,NA,1750,NA,NA,NA,NA,NA,3935,1200,3935,NA,NA,"0",-1677,0,0,0,0,0,"2021","0"
"86","Carbominer20233",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,"DAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362125,NA,NA,NA,NA,"0",NA,0,0,0,0,0,"2023","0"
"87","Carbon Blade20222",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,710,NA,1680,1500,500,NA,NA,NA,2490,235,2705,NA,NA,"0",-970,0,0,0,0,0,"2022","0"
"88","Carbon Drawdown Initiative20224",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,300,NA,300,0,300,0,0,NA,300,38.1,300,NA,NA,"0",0,0,0,0,0,0,"2022","0"
"89","Carbon Lockdown20222",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,100,NA,100,75,25,NA,NA,NA,12387,2387,10000,NA,NA,"0",0,0,0,0,1,0,"2022","1"
"90","Carbon Lockdown20224",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,250,NA,250,50,50,100,0,NA,2620,620,2000,NA,NA,"0",0,0,0,0,0,0,"2022","0"
"91","Carbon Neutral Initiative20222",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,235,NA,183,NA,NA,NA,NA,NA,1125,61,1064,NA,NA,"0",52,0,0,0,0,0,"2022","0"
"92","CarbonBlue20233",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Direct Ocean Removal",NA,NA,NA,1250,1250,NA,NA,NA,NA,NA,NA,NA,NA,320,400,0,"1",NA,0,-80,1,0,0,"2023","0"
"93","CarbonCapture20222",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,800,NA,1946,NA,NA,NA,NA,NA,1400,200,1200,NA,NA,"0",-1146,0,0,0,0,0,"2022","0"
"94","Carboniferous20222",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,750,NA,7000,NA,NA,NA,NA,NA,556,33.67,522.33,NA,NA,"0",-6250,0,0,0,0,0,"2022","0"
"95","Carboniferous20233",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Biomass sinking",NA,NA,NA,1004,0,NA,274,NA,NA,730,NA,NA,NA,500,0,250000,"1",NA,NA,NA,1,0,0,"2023","0"
"96","Carbotura20212",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,35,NA,67,NA,NA,NA,NA,NA,370612800,94672800,370612800,NA,NA,"0",-32,0,0,0,0,0,"2021","0"
"97","CarStorCon Technologies20224",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,500,NA,500,370,85,10,35,160,25000,NA,1000,NA,NA,"0",0,0,0,0,0,0,"2022","0"
"98","Cella Mineral Storage20224",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"DAC",NA,NA,NA,227,227.5,227,52,160,15,0,NA,2198,1.94,2198,1465,0,"1",0,-0.5,733,1,0,0,"2022","0"
"99","Clairity Technology20224",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1850,NA,1850,840,990,20,0,10,312,12,300,NA,NA,"0",0,0,0,0,0,0,"2022","0"
"100","Clairity20233",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,805,NA,NA,NA,NA,NA,NA,NA,NA,NA,405,NA,NA,"0",NA,0,0,0,0,0,"2023","0"
"101","CO2-Zero20212",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,"Turkey","mineralization,olivine",30000,0,1000,75,NA,34,NA,NA,NA,NA,NA,30000,2652,30000,NA,NA,"0",41,0,0,0,0,0,"2021","0"
"102","CO2 Rail20222",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,310,NA,310,NA,NA,NA,NA,NA,9031,416,1750,NA,NA,"0",0,0,0,0,0,0,"2022","0"
"103","CREW20224",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Enhanced weathering",NA,NA,NA,810,810,647,2078,374,NA,NA,NA,215,12.6,150,410,0,"1",163,0,-260,1,0,0,"2022","0"
"104","E-quester20224",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,2000,NA,4145,1600,2533,12,0,NA,100,3.23,89,NA,NA,"0",-2145,0,0,0,0,0,"2022","0"
"105","EDAC Labs20233",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Mineralization",NA,NA,NA,1573,1573,NA,NA,NA,NA,NA,NA,NA,NA,318,317,0,"1",NA,0,1,1,0,0,"2023","0"
"106","Electro-Active20233",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,476,NA,NA,NA,NA,NA,NA,NA,NA,NA,1050,NA,NA,"0",NA,0,0,0,0,0,"2023","0"
"107","Everest Carbon20233",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,519,NA,NA,NA,NA,NA,NA,NA,NA,NA,960,NA,NA,"0",NA,0,0,0,0,0,"2023","0"
"108","Finnish Log House Industry20201",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,"Finland","biomass,wood",25000,1,50,20,NA,NA,NA,NA,NA,NA,25000,NA,NA,35000,NA,NA,"0",NA,0,0,0,0,0,"2020","0"
"109","FIRST GIGATON20222",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,485,NA,485,NA,NA,NA,NA,NA,15120,1678,13442,NA,NA,"0",0,0,0,0,0,0,"2022","0"
